basin, number, time, tech, forecastHr, lat , lon, vmax, mslp, 
basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
WP, 19, 2006100100, 03, EE26,  12, 155N, 1067E,  31,  992, XX
WP, 19, 2006100100, 03, EE26,  24, 154N, 1052E,  28,  994, XX
WP, 19, 2006100100, 03, EE26,  36, 154N, 1038E,  29,  998, XX
WP, 19, 2006100100, 03, EE26,  48, 159N, 1026E,  21, 1002, XX
WP, 19, 2006100100, 03, EE27,   0, 159N, 1086E,  46,  983, XX
WP, 19, 2006100100, 03, EE27,  12, 156N, 1065E,  31,  991, XX
WP, 19, 2006100100, 03, EE27,  24, 156N, 1046E,  35,  993, XX
WP, 19, 2006100100, 03, EE27,  36, 159N, 1026E,  25,  997, XX
WP, 19, 2006100100, 03, EE27,  48, 161N, 1006E,  26, 1001, XX
WP, 19, 2006100100, 03, EE27,  60, 166N,  999E,  17, 1002, XX
WP, 19, 2006100100, 03, EE27,  72, 155N,  969E,  24, 1003, XX
WP, 19, 2006100100, 03, EE27,  84, 169N,  966E,  16, 1003, XX
WP, 19, 2006100100, 03, EE27,  96, 166N,  958E,  28, 1003, XX
WP, 19, 2006100100, 03, EE27, 108, 175N,  963E,  31, 1002, XX
WP, 19, 2006100100, 03, EE27, 120, 169N,  963E,  35, 1002, XX
WP, 19, 2006100100, 03, EE28,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE28,  12, 155N, 1074E,  35,  991, XX
WP, 19, 2006100100, 03, EE28,  24, 154N, 1056E,  30,  995, XX
WP, 19, 2006100100, 03, EE28,  36, 154N, 1047E,  21, 1000, XX
WP, 19, 2006100100, 03, EE29,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE29,  12, 153N, 1068E,  38,  990, XX
WP, 19, 2006100100, 03, EE29,  24, 152N, 1051E,  26,  993, XX
WP, 19, 2006100100, 03, EE29,  36, 155N, 1036E,  25,  997, XX
WP, 19, 2006100100, 03, EE29,  48, 158N, 1020E,  28, 1000, XX
WP, 19, 2006100100, 03, EE29,  60, 160N, 1001E,  19, 1001, XX
WP, 19, 2006100100, 03, EE29,  72, 152N,  979E,  32, 1001, XX
WP, 19, 2006100100, 03, EE29,  84, 165N,  973E,  19, 1002, XX
WP, 19, 2006100100, 03, EE29,  96, 165N,  968E,  32, 1000, XX
WP, 19, 2006100100, 03, EE29, 108, 177N,  960E,  21, 1000, XX
WP, 19, 2006100100, 03, EE29, 120, 184N,  963E,  21, 1002, XX
